Full name,Make,Model,Year,Category,Rating,Price as new (MSRP),Displacement,Engine type,Engine details,Power,Torque,Top speed,1/4 mile (0.4 km),0-100 km/h (0-62 mph),"60-140 km/h (37-87 mph), highest gear",Max RPM,Compression,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Driveline,Fuel consumption,Greenhouse gases,Emission details,Exhaust system,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel (mm),Rear suspension,Rear wheel travel (mm),Front tyre,Rear tyre,Front brakes,Front brakes diameter,Rear brakes,Rear brakes diameter,Wheels,Seat,Dry weight,"Weight incl. oil, gas, etc",Power/weight ratio,Front percentage of weight,Rear percentage of weight,Seat height,Alternate seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Reserve fuel capacity,Oil capacity,Color options,Starter,Instruments,Electrical,Light,Carrying capacity,Factory warranty,Comments,Modifications compared to previous model,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Profilation
BMW K 100,BMW,K 100,1984,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",,987.0 ccm (60.23 cubic inches),,"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,,218.0 km/h (135.5 mph),,,,,10.2:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,100/90-18 ,130/90-17 ,Dual disc,,Single disc,,,,,243.0 kg (535.7 pounds),,,,,,,,,,,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100,BMW,K 100,1983,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",,987.0 ccm (60.23 cubic inches),,"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,,218.0 km/h (135.5 mph),,,,,10.2:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,100/90-18 ,130/90-17 ,Dual disc,,Single disc,,,,,243.0 kg (535.7 pounds),,,,,,,,,,,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100 LT,BMW,K 100 LT,1991,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",,987.0 ccm (60.23 cubic inches),,"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,,215.0 km/h (133.6 mph),,,,,10.2:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,100/90-18 ,130/90-17 ,Dual disc,,Single disc,,,,,273.0 kg (601.9 pounds),,,,,,,,,,,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100 LT,BMW,K 100 LT,1990,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",,987.0 ccm (60.23 cubic inches),,"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,,215.0 km/h (133.6 mph),,,,,10.2:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,100/90-18 ,130/90-17 ,Dual disc,,Single disc,,,,,273.0 kg (601.9 pounds),,,,,,,,,,,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100 LT,BMW,K 100 LT,1989,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",,987.0 ccm (60.23 cubic inches),,"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,,215.0 km/h (133.6 mph),,,,,10.2:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,100/90-18 ,130/90-17 ,Dual disc,,Single disc,,,,,273.0 kg (601.9 pounds),,,,,,,,,,,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100 LT,BMW,K 100 LT,1988,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",,987.0 ccm (60.23 cubic inches),,"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,,215.0 km/h (133.6 mph),,,,,10.2:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,100/90-18 ,130/90-17 ,Dual disc,,Single disc,,,,,273.0 kg (601.9 pounds),,,,,,,,,,,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100 LT,BMW,K 100 LT,1987,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",,987.0 ccm (60.23 cubic inches),,"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,,215.0 km/h (133.6 mph),,,,,10.2:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,100/90-18 ,130/90-17 ,Dual disc,,Single disc,,,,,273.0 kg (601.9 pounds),,,,,,,,,,,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100 LT,BMW,K 100 LT,1986,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",,987.0 ccm (60.23 cubic inches),,"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,,215.0 km/h (133.6 mph),,,,,10.2:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,100/90-18 ,130/90-17 ,Dual disc,,Single disc,,,,,273.0 kg (601.9 pounds),,,,,,,,,,,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100 LT Limited Edition,BMW,K 100 LT Limited Edition,1991,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",,987.0 ccm (60.23 cubic inches),,"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,,215.0 km/h (133.6 mph),,,,,10.2:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,110/80-18 ,140/80-17 ,Dual disc,,Single disc,,,,,283.0 kg (623.9 pounds),,,,,,,,,,,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100 RS,BMW,K 100 RS,1992,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",,987.0 ccm (60.23 cubic inches),,"In-line four, four-stroke",100.0 HP (73.0  kW)),,230.0 km/h (142.9 mph),,,,10000,,,4,Injection,,,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,,,Double disc,,,,,,,,,,,,,,,,,,,,,,Electric,,,,,,,,,,,,,,,,,,,,,
